ID	tt_tram	tt_metro	tt_bus	tc_tram	tc_metro	tc_bus	hw_tram	hw_metro	hw_bus	choice
1	25	10	40	1.5	2	1.5	9	7	12	2
2	30	15	25	2	4.5	0.5	9	7	12	2
3	25	15	40	2.5	3	0.5	9	5	12	2
4	30	20	25	2.5	2	1	7	7	12	1
5	30	10	40	2.5	3	1.5	12	7	10	2
6	25	20	45	2	2	1	9	5	10	2
7	25	15	40	2	2	0.5	9	12	15	1
8	30	20	25	1.5	3	1	12	7	15	2
9	30	10	40	2	3	1	7	12	15	1
10	25	15	40	2	3	0.5	7	7	12	1
11	15	20	45	2.5	4.5	1	7	5	12	2
12	25	10	45	2	4.5	1	12	12	10	2
13	25	15	25	2.5	3	0.5	7	7	15	2
14	25	15	40	2	3	1.5	12	12	15	1
15	30	20	45	1.5	4.5	0.5	9	5	10	2
16	25	15	25	2.5	3	1.5	9	5	15	2
17	25	10	45	2.5	2	1.5	9	5	10	2
18	15	10	40	1.5	3	1.5	12	12	12	1
19	25	20	40	2	4.5	0.5	7	12	12	1
20	30	15	45	1.5	2	0.5	7	5	15	2
21	30	15	40	2.5	3	1	7	5	12	2
22	25	15	25	2	3	0.5	12	7	15	2
23	25	15	40	1.5	2	1	12	7	12	2
24	30	15	45	2	3	1.5	9	5	15	2
25	15	15	40	2	3	1	12	7	15	2
26	30	10	25	2	3	1	7	5	10	2
27	15	15	25	1.5	4.5	1	9	5	12	2
28	25	15	40	2	3	0.5	9	12	12	1
29	25	15	25	2	3	1	9	12	10	3
30	25	10	45	2	3	0.5	7	5	12	2
31	25	10	45	2	4.5	1	9	7	15	2
32	25	20	40	2.5	3	0.5	9	5	12	2
33	30	10	40	2.5	4.5	1	9	7	12	2
34	30	10	40	2.5	4.5	1	9	7	12	2
35	25	15	40	2	2	1	7	7	15	2
36	15	20	45	2.5	3	1.5	9	12	12	1
37	25	15	40	1.5	3	1	12	12	15	2
38	25	20	25	1.5	3	1.5	7	5	12	2
39	25	20	40	2	3	1.5	12	7	10	2
40	30	20	45	1.5	2	1	9	7	15	2
41	15	15	40	1.5	4.5	1	9	5	12	2
42	25	10	40	2.5	4.5	0.5	7	7	10	1
43	25	15	40	2	4.5	1	12	7	12	2
44	25	20	40	1.5	4.5	1	9	12	10	1
45	15	15	25	2	3	1	12	12	12	3
46	25	20	45	1.5	4.5	1	7	12	12	1
47	30	15	40	2	2	1	12	7	15	2
48	25	15	40	1.5	4.5	1	7	7	10	1
49	25	20	25	2	3	0.5	7	7	12	1
50	15	20	25	2	2	1.5	7	5	12	2
51	25	20	45	1.5	4.5	1.5	9	7	12	2
52	25	10	40	2	3	1	7	7	10	1
53	15	15	25	2	2	1	9	7	12	2
54	25	15	45	2	3	1	9	7	12	2
55	25	10	40	2	3	0.5	9	7	12	2
56	15	10	45	2	2	1	9	7	12	2
57	15	15	45	1.5	4.5	1.5	7	12	12	1
58	25	15	40	2.5	3	1.5	12	5	15	2
59	25	15	40	1.5	2	1	9	12	12	1
60	15	20	40	1.5	4.5	1.5	7	5	15	1
61	25	15	40	2	3	1	9	12	15	1
62	15	20	25	2	3	1.5	12	7	12	2
63	30	20	40	2	2	1.5	9	7	10	2
64	30	15	45	2	2	1.5	9	7	10	1
65	25	10	25	2	4.5	1	9	5	15	2
66	25	15	40	2.5	4.5	1	7	12	10	1
67	25	10	25	1.5	3	1.5	12	5	15	2
68	30	15	40	1.5	2	1.5	12	12	12	1
69	25	15	45	2	2	0.5	9	7	12	2
70	25	15	45	2	3	1.5	12	7	10	2
71	25	10	40	1.5	4.5	1	12	12	15	2
72	25	10	45	1.5	2	1.5	9	12	10	1
73	25	15	40	1.5	3	0.5	7	12	12	1
74	25	15	45	2	3	0.5	9	12	15	1
75	30	20	40	1.5	3	0.5	9	5	10	2
76	25	15	25	2	4.5	0.5	12	5	12	2
77	15	15	25	1.5	4.5	1	12	5	15	2
78	15	20	40	2.5	4.5	1	9	12	12	1
79	25	10	25	2	4.5	0.5	9	5	10	2
80	25	15	40	2.5	3	0.5	9	5	12	2
81	25	15	25	2	3	1	9	5	12	2
82	25	15	25	1.5	4.5	0.5	7	7	12	1
83	25	10	40	2	4.5	1	9	5	15	2
84	25	15	40	1.5	4.5	1	9	7	10	1
85	25	20	40	1.5	3	1	12	12	15	1
86	30	15	40	2	3	0.5	12	12	12	2
87	15	20	45	2	2	0.5	7	7	12	2
88	25	15	40	1.5	3	1	12	7	12	2
89	30	10	40	2	3	1.5	7	7	10	2
90	15	15	45	2.5	4.5	1	12	12	10	3
91	15	20	40	2	4.5	1	9	7	12	2
92	25	15	25	1.5	3	1	7	12	15	1
93	25	15	25	2	2	1	7	12	12	1
94	25	10	40	2	2	1	12	7	12	2
95	25	10	40	1.5	3	0.5	9	12	12	2
96	30	15	45	2	4.5	1	7	5	12	1
97	25	15	45	2	3	1	9	7	10	2
98	30	10	40	2	3	1	9	7	12	2
