ID	Gender	Age	Bus_travel_time	Metro_travel_time	Car_travel_time	Bus_travel_cost	Metro_travel_cost	Car_travel_cost	Bus_headway_time	Metro_headway_time	Choice	Attitude1	Attitude2	Attitude3
1	0	46	30	30	18	2.5	2	12	12	7	3	5	5	5
1	0	46	25	20	12	2	2.5	12	9	7	2	5	5	5
1	0	46	30	40	22	1.5	2.5	9	9	7	3	5	5	5
1	0	46	30	40	18	2	2.5	10	7	8	1	5	5	5
1	0	46	35	20	18	2	3	10	12	7	3	5	5	5
1	0	46	35	20	18	2	2.5	10	12	7	3	5	5	5
1	0	46	25	20	18	2	2.5	10	12	7	3	5	5	5
1	0	46	30	30	18	2	3	9	12	7	2	5	5	5
1	0	46	30	30	18	2.5	3	10	12	8	3	5	5	5
1	0	46	30	30	18	2.5	2	10	7	5	3	5	5	5
2	1	58	25	20	18	2.5	3	12	9	7	3	4	4	4
2	1	58	30	30	18	2	3	10	7	5	2	4	4	4
2	1	58	35	30	22	2	2.5	10	7	5	2	4	4	4
2	1	58	25	30	18	2.5	2.5	10	7	8	2	4	4	4
2	1	58	30	20	12	2	2.5	9	7	7	3	4	4	4
2	1	58	30	30	18	2.5	2.5	10	9	5	1	4	4	4
2	1	58	30	30	12	2	2	12	9	7	2	4	4	4
2	1	58	30	30	12	2	2	10	7	7	2	4	4	4
2	1	58	30	40	22	2	2	10	9	7	2	4	4	4
2	1	58	35	40	18	2	3	10	9	7	1	4	4	4
3	1	20	30	20	22	2	3	9	12	7	3	4	4	3
3	1	20	30	30	18	1.5	3	10	9	5	2	4	4	3
3	1	20	30	40	18	1.5	2.5	10	7	7	2	4	4	3
3	1	20	25	30	18	2.5	2	12	12	8	2	4	4	3
3	1	20	30	40	22	2	2.5	9	9	7	3	4	4	3
3	1	20	30	30	12	2	3	10	7	7	1	4	4	3
3	1	20	30	30	18	2	2.5	10	9	7	3	4	4	3
3	1	20	25	30	12	2	2	10	12	8	2	4	4	3
3	1	20	30	30	18	1.5	2	10	9	8	2	4	4	3
3	1	20	30	30	22	2	2	9	12	7	3	4	4	3
4	0	45	25	20	18	1.5	2.5	9	9	5	3	4	3	2
4	0	45	35	20	18	2.5	2.5	9	7	7	1	4	3	2
4	0	45	25	20	12	1.5	3	10	9	7	3	4	3	2
4	0	45	25	20	22	2	2	10	9	7	2	4	3	2
4	0	45	25	40	12	2	2	9	12	7	3	4	3	2
4	0	45	30	20	18	2.5	2.5	10	9	7	2	4	3	2
4	0	45	35	40	22	2.5	2.5	12	12	7	3	4	3	2
4	0	45	35	20	18	2	2	10	12	8	2	4	3	2
4	0	45	30	30	18	2	2.5	9	9	7	3	4	3	2
4	0	45	25	40	18	2.5	2.5	12	7	8	1	4	3	2
5	1	37	25	30	22	2	2.5	12	7	7	1	1	4	3
5	1	37	30	30	18	2.5	2	9	9	7	2	1	4	3
5	1	37	25	30	18	2	2.5	12	7	5	2	1	4	3
5	1	37	35	20	22	1.5	2	12	9	5	2	1	4	3
5	1	37	30	30	18	1.5	2.5	9	12	8	3	1	4	3
5	1	37	30	30	22	1.5	3	12	9	7	2	1	4	3
5	1	37	30	30	18	2	2.5	12	9	7	3	1	4	3
5	1	37	25	30	18	1.5	3	12	12	8	2	1	4	3
5	1	37	30	30	12	2.5	2.5	9	9	8	2	1	4	3
5	1	37	30	30	18	2	2.5	10	12	5	1	1	4	3
6	1	43	35	30	18	1.5	2	10	9	8	3	5	3	4
6	1	43	25	20	18	1.5	2.5	10	12	7	2	5	3	4
6	1	43	30	30	18	2.5	2.5	10	7	5	1	5	3	4
6	1	43	30	30	18	2.5	2	12	12	7	2	5	3	4
6	1	43	25	20	22	1.5	2	12	9	5	3	5	3	4
6	1	43	30	30	18	2.5	2	10	9	7	1	5	3	4
6	1	43	30	40	18	2.5	3	10	12	7	3	5	3	4
6	1	43	30	30	12	2	2.5	10	9	8	2	5	3	4
6	1	43	30	20	18	2.5	3	12	12	8	2	5	3	4
6	1	43	25	30	18	1.5	2	10	9	5	2	5	3	4
7	1	41	30	40	18	2	2	9	12	7	3	4	5	3
7	1	41	30	40	18	1.5	3	12	9	5	1	4	5	3
7	1	41	35	40	18	1.5	2.5	10	12	7	3	4	5	3
7	1	41	30	30	22	1.5	2.5	10	7	8	1	4	5	3
7	1	41	30	30	22	2	2.5	12	9	5	1	4	5	3
7	1	41	30	20	18	2.5	2.5	10	7	8	2	4	5	3
7	1	41	35	30	18	2	2.5	10	12	8	3	4	5	3
7	1	41	30	40	22	2	2.5	12	7	8	1	4	5	3
7	1	41	30	30	18	2	2	10	9	5	2	4	5	3
7	1	41	25	30	12	2	2.5	10	9	7	2	4	5	3
8	1	64	35	30	18	2.5	2.5	10	7	5	3	4	3	3
8	1	64	30	40	18	2.5	2	12	7	5	2	4	3	3
8	1	64	30	40	18	2.5	2.5	10	9	5	2	4	3	3
8	1	64	30	40	22	2	3	9	9	7	2	4	3	3
8	1	64	35	20	18	2	3	10	12	7	3	4	3	3
8	1	64	30	30	12	2	2.5	12	12	5	2	4	3	3
8	1	64	30	30	18	2	2	12	7	7	1	4	3	3
8	1	64	30	30	18	2.5	2	12	9	8	2	4	3	3
8	1	64	35	30	18	1.5	2.5	10	12	7	3	4	3	3
8	1	64	30	20	22	2	2.5	9	7	7	1	4	3	3
9	1	38	25	30	22	2	2.5	12	9	7	2	4	4	4
9	1	38	25	30	18	2.5	2	10	9	7	2	4	4	4
9	1	38	25	20	18	2	2.5	10	7	7	2	4	4	4
9	1	38	35	20	18	2	3	10	7	7	2	4	4	4
9	1	38	30	20	22	2	3	9	12	5	3	4	4	4
9	1	38	25	30	18	2.5	2.5	10	12	5	2	4	4	4
9	1	38	30	30	12	2.5	2	12	12	7	3	4	4	4
9	1	38	30	40	12	2	2.5	10	7	5	1	4	4	4
9	1	38	35	30	18	2	2	10	12	7	2	4	4	4
9	1	38	25	40	18	2	2.5	10	12	7	3	4	4	4
10	1	47	30	30	18	2.5	2.5	10	12	8	3	5	4	3
10	1	47	30	30	18	2	3	12	7	5	1	5	4	3
10	1	47	30	30	18	2.5	3	12	9	7	2	5	4	3
10	1	47	35	40	18	2.5	2	9	9	7	2	5	4	3
10	1	47	25	30	18	2	3	10	7	8	3	5	4	3
10	1	47	25	30	18	1.5	2	9	9	7	1	5	4	3
10	1	47	25	30	18	2	2.5	9	9	8	3	5	4	3
10	1	47	25	30	12	2	2.5	10	12	7	2	5	4	3
10	1	47	35	40	18	2.5	3	10	9	7	2	5	4	3
10	1	47	25	20	12	2	2	10	7	5	1	5	4	3
11	1	21	35	40	18	1.5	2	9	7	5	1	5	4	4
11	1	21	25	30	22	2	2	9	9	5	2	5	4	4
11	1	21	30	40	18	2.5	3	9	12	8	3	5	4	4
11	1	21	30	30	18	2	3	9	9	7	1	5	4	4
11	1	21	35	30	22	2	2	12	7	7	1	5	4	4
11	1	21	30	30	22	2.5	3	9	7	7	1	5	4	4
11	1	21	30	30	22	1.5	2.5	9	9	7	1	5	4	4
11	1	21	30	30	12	2	3	12	9	8	2	5	4	4
11	1	21	30	40	12	1.5	2	10	9	8	2	5	4	4
11	1	21	25	40	18	1.5	2.5	10	9	8	1	5	4	4
12	0	53	25	30	18	1.5	2	12	9	7	3	4	3	4
12	0	53	30	30	18	2	3	9	7	7	1	4	3	4
12	0	53	35	30	22	2	2	12	9	8	2	4	3	4
12	0	53	30	20	18	1.5	3	9	12	5	2	4	3	4
12	0	53	30	30	18	2	2.5	10	9	8	3	4	3	4
12	0	53	25	30	18	2.5	2	9	7	7	1	4	3	4
12	0	53	25	30	18	2	2.5	12	7	7	2	4	3	4
12	0	53	35	40	12	2.5	2.5	10	7	5	2	4	3	4
12	0	53	35	20	18	2.5	2.5	9	12	7	3	4	3	4
12	0	53	25	30	18	2.5	2.5	10	7	7	3	4	3	4
13	0	57	30	30	18	1.5	2.5	12	9	5	2	4	5	4
13	0	57	30	30	18	1.5	2.5	10	12	5	2	4	5	4
13	0	57	30	40	18	2	2.5	9	7	7	3	4	5	4
13	0	57	30	40	18	1.5	2.5	9	9	8	2	4	5	4
13	0	57	30	30	18	2.5	2	12	9	8	3	4	5	4
13	0	57	35	30	18	2	2.5	12	7	7	3	4	5	4
13	0	57	30	20	18	2	3	10	7	7	3	4	5	4
13	0	57	25	40	18	2	2.5	12	7	8	1	4	5	4
13	0	57	30	40	22	1.5	2	9	7	7	3	4	5	4
13	0	57	30	30	18	2.5	2.5	12	9	7	3	4	5	4
14	1	27	35	40	18	2	2.5	9	9	8	3	1	3	4
14	1	27	25	30	18	2	2.5	12	7	5	1	1	3	4
14	1	27	25	20	22	2.5	2	10	9	8	2	1	3	4
14	1	27	30	20	12	2	2.5	12	9	7	1	1	3	4
14	1	27	30	40	18	2	2	10	7	7	3	1	3	4
14	1	27	35	40	12	2	2	10	7	7	1	1	3	4
14	1	27	30	20	12	2	3	10	9	7	2	1	3	4
14	1	27	25	20	22	2	2.5	10	9	7	2	1	3	4
14	1	27	25	30	22	2.5	3	12	12	5	2	1	3	4
14	1	27	25	40	22	2	2	10	9	8	1	1	3	4
15	0	27	25	40	18	2	2	10	9	8	3	4	5	1
15	0	27	30	20	18	2.5	3	10	9	5	2	4	5	1
15	0	27	30	40	12	2	2.5	10	12	7	3	4	5	1
15	0	27	30	30	18	1.5	3	12	9	5	2	4	5	1
15	0	27	30	30	18	1.5	2.5	9	7	8	3	4	5	1
15	0	27	35	20	18	2	2.5	9	9	7	2	4	5	1
15	0	27	30	40	12	1.5	3	10	9	5	3	4	5	1
15	0	27	30	20	18	1.5	2	9	12	7	2	4	5	1
15	0	27	25	30	22	2	2.5	12	12	7	2	4	5	1
15	0	27	25	40	12	2	2	9	7	7	3	4	5	1
16	0	59	25	20	12	2	2	10	9	5	3	5	3	4
16	0	59	35	40	22	1.5	2	10	9	7	1	5	3	4
16	0	59	25	30	18	1.5	2.5	10	12	8	3	5	3	4
16	0	59	35	20	18	2.5	2.5	10	9	5	2	5	3	4
16	0	59	25	40	18	2	2.5	9	7	8	3	5	3	4
16	0	59	30	30	22	2	2.5	9	9	8	3	5	3	4
16	0	59	30	40	18	1.5	2	9	7	7	3	5	3	4
16	0	59	30	30	18	2.5	2.5	12	9	8	2	5	3	4
16	0	59	35	30	18	1.5	2	10	9	8	3	5	3	4
16	0	59	35	30	18	2.5	2.5	10	12	8	2	5	3	4
17	0	41	30	30	12	2	3	10	9	7	1	3	4	5
17	0	41	30	30	12	1.5	2.5	12	7	7	2	3	4	5
17	0	41	30	30	18	2	3	10	7	7	3	3	4	5
17	0	41	35	30	12	2	3	12	7	7	2	3	4	5
17	0	41	35	30	18	2	2	9	7	7	3	3	4	5
17	0	41	30	40	18	1.5	3	9	7	8	3	3	4	5
17	0	41	25	30	22	2.5	3	10	7	8	3	3	4	5
17	0	41	30	20	18	2	2.5	9	9	5	2	3	4	5
17	0	41	35	40	22	2	3	10	9	7	2	3	4	5
17	0	41	35	30	22	1.5	3	10	12	7	3	3	4	5
18	0	21	35	30	18	1.5	3	9	9	7	3	4	3	3
18	0	21	30	30	12	1.5	3	12	9	8	1	4	3	3
18	0	21	30	30	12	1.5	3	9	9	8	3	4	3	3
18	0	21	35	40	22	1.5	3	12	7	5	2	4	3	3
18	0	21	30	40	22	2	2	10	9	8	3	4	3	3
18	0	21	35	40	12	1.5	3	10	12	8	1	4	3	3
18	0	21	30	30	22	2	2.5	10	7	8	3	4	3	3
18	0	21	25	20	12	1.5	2	12	7	5	2	4	3	3
18	0	21	25	40	22	1.5	2.5	10	9	5	2	4	3	3
18	0	21	30	30	18	2.5	3	12	9	5	2	4	3	3
19	0	64	30	30	22	1.5	2.5	12	7	8	3	4	5	5
19	0	64	35	40	18	2.5	2	9	9	5	3	4	5	5
19	0	64	30	20	18	2.5	3	10	9	7	3	4	5	5
19	0	64	30	30	22	2	2	9	9	8	2	4	5	5
19	0	64	25	30	18	2	2.5	10	12	7	3	4	5	5
19	0	64	35	30	18	2	2.5	12	12	8	3	4	5	5
19	0	64	30	30	12	2.5	2	9	12	7	3	4	5	5
19	0	64	35	40	22	2	3	10	12	7	2	4	5	5
19	0	64	35	20	18	1.5	2	12	9	5	2	4	5	5
19	0	64	30	30	12	1.5	2	9	9	7	3	4	5	5
20	1	44	25	20	12	2	2	12	9	5	3	5	3	4
20	1	44	30	40	18	2.5	3	9	9	7	1	5	3	4
20	1	44	30	40	22	1.5	2.5	10	7	8	2	5	3	4
20	1	44	30	30	12	2.5	3	10	9	7	2	5	3	4
20	1	44	30	40	18	2	2.5	10	9	5	3	5	3	4
20	1	44	25	30	18	2	3	9	9	7	1	5	3	4
20	1	44	30	30	18	2	3	10	12	7	3	5	3	4
20	1	44	25	40	12	1.5	2	10	7	7	2	5	3	4
20	1	44	30	30	22	1.5	2.5	9	9	8	2	5	3	4
20	1	44	30	20	18	2.5	2.5	9	7	7	1	5	3	4
21	0	62	25	30	18	2	2.5	10	7	8	3	4	5	5
21	0	62	30	20	12	2	2	10	7	8	3	4	5	5
