ID	Household_Size	Number_of_Vehicles	Income	Proximity_to_Public_Transportation	Presence_of_Children	Trips
1	3	1	72.497	0.3	1	4
2	2	1	76.344	0.5	0	3
3	4	0	79.656	0.6	1	3
4	2	1	83.503	0.7	0	3
5	3	2	66.553	0.9	1	3
6	2	1	73.382	1.1	1	3
7	4	1	77.013	1.3	1	4
8	2	2	80.344	1.6	0	3
9	3	0	84.502	2	1	2
10	2	1	68.813	2.7	0	2
11	4	2	74.189	0.2	1	5
12	2	0	77.672	0.4	0	3
13	3	1	81.058	0.5	1	3
14	3	2	85.682	0.6	1	4
15	5	1	70.318	0.8	1	4
16	1	1	74.942	0.9	0	2
17	3	2	78.328	1.1	1	3
18	2	0	81.811	1.3	0	2
19	4	1	87.187	1.6	1	4
20	2	2	71.498	2	0	2
21	3	1	75.656	2.8	1	2
22	3	1	78.987	0.2	1	3
23	5	2	82.618	0.4	1	4
24	2	1	89.447	0.5	0	3
25	3	1	62.25	0.6	1	4
26	2	3	72.682	0.8	0	3
27	4	0	76.479	0.9	1	3
28	2	1	79.792	1.1	0	2
29	4	1	83.692	1.3	1	4
30	3	0	67.117	1.6	1	3
31	6	1	73.549	2.1	1	4
32	1	2	77.145	2.9	0	1
33	3	1	80.484	0.2	1	4
34	2	1	84.721	0.4	1	3
35	4	2	69.152	0.5	1	4
36	2	0	74.344	0.6	0	3
37	3	1	77.803	0.8	1	3
38	3	2	81.205	0.9	1	3
39	5	1	85.95	1.1	1	5
40	2	1	70.573	1.4	1	2
41	3	2	75.088	1.7	1	4
42	2	1	78.459	2.1	0	3
43	4	1	81.967	3	1	3
44	2	2	87.553	0.2	0	3
45	3	0	71.709	0.4	1	3
46	3	1	75.796	0.5	1	4
47	5	2	79.12	0.7	1	4
48	1	1	82.788	0.8	0	2
49	3	1	90.11	1	1	3
50	2	2	63.979	1.1	0	3
51	4	1	72.862	1.4	1	4
52	2	1	76.613	1.7	0	3
53	3	3	79.929	2.2	1	3
54	3	0	83.886	3.1	1	2
55	5	1	67.609	0.2	1	4
56	2	1	73.713	0.4	0	3
57	3	0	77.277	0.5	1	3
58	2	1	80.626	0.7	0	3
59	4	2	84.947	0.8	1	4
60	2	1	69.47	1	0	2
61	4	1	74.496	1.2	1	3
62	3	2	77.934	1.4	1	4
63	6	0	81.354	1.7	1	4
64	1	1	86.232	2.2	0	2
65	3	2	70.818	3.3	1	2
66	2	1	75.232	0.3	0	3
67	4	1	78.591	0.4	1	4
68	2	2	82.126	0.5	0	3
69	3	1	87.952	0.7	1	4
70	2	1	71.915	0.8	0	3
71	4	3	75.934	1	1	4
72	2	0	79.253	1.2	0	2
73	3	1	82.961	1.4	1	3
74	2	2	90.929	1.8	0	3
75	4	1	65.071	2.3	1	3
76	2	1	73.039	3.4	0	2
77	3	2	76.747	0.3	1	4
78	3	1	80.066	0.4	1	4
79	5	1	84.085	0.6	1	4
80	1	3	68.048	0.7	0	3
81	3	0	73.874	0.8	1	3
82	2	1	77.409	1	0	3
83	4	1	80.768	1.2	1	4
84	2	0	85.182	1.5	1	2
85	3	1	69.768	1.8	1	3
86	3	2	74.646	2.4	1	3
87	5	1	78.066	3.6	1	3
88	2	1	81.504	0.3	0	3
89	3	2	86.53	0.4	1	4
90	2	0	71.053	0.6	0	3
91	4	1	75.374	0.7	1	4
92	2	2	78.723	0.9	0	3
93	4	0	82.287	1	1	4
94	3	1	88.391	1.2	1	3
95	6	2	72.114	1.5	1	4
96	1	1	76.071	1.8	0	2
97	3	1	79.387	2.4	1	2
98	2	2	83.138	3.9	0	2
99	4	0	92.021	0.3	1	4
100	2	1	65.89	0.5	0	3
101	3	2	73.212	0.6	1	3
102	3	1	76.88	0.7	1	4
103	5	1	80.204	0.9	1	4
104	2	2	84.291	1	0	3
105	3	1	68.447	1.2	1	3
106	2	1	74.033	1.5	0	3
107	4	3	77.541	1.9	1	4
108	2	0	80.912	2.5	1	2
109	3	1	85.427	4.1	1	2
110	3	1	70.05	0.3	1	3
111	6	0	74.795	0.5	1	4
112	1	1	78.197	0.6	0	3
113	3	2	81.656	0.7	1	4
114	2	1	86.848	0.9	0	3
115	4	1	71.279	1.1	1	4
116	2	2	75.516	1.3	0	3
117	3	0	78.855	1.5	1	3
118	3	1	82.451	1.9	1	3
119	5	2	88.883	2.6	1	3
120	2	1	72.308	4.5	0	1
121	3	1	76.208	0.1	1	3
122	2	2	79.521	0.3	0	3
123	4	1	83.318	0.5	1	4
124	2	1	93.75	0.6	0	3
125	4	3	58.726	0.7	1	4
126	3	0	72.534	0.9	1	3
127	7	1	76.371	1.1	1	5
128	1	2	79.684	1.3	0	2
