ID	tt_tram	tt_metro	tt_bus	tc_tram	tc_metro	tc_bus	hw_tram	hw_metro	hw_bus	choice
1	25	15	30	2.5	2	0.8	12	7	11	2
1	15	10	20	2	3	0.8	9	7	14	2
1	25	20	40	1.5	3	0.3	9	7	10	2
1	25	20	30	2	3	0.5	7	11	11	1
1	30	10	30	2	4	0.5	12	7	11	2
1	30	10	30	2	3	0.5	12	7	10	2
1	15	10	30	2	3	0.5	12	7	11	2
1	25	15	30	2	4	0.3	12	7	14	2
1	25	15	30	2.5	4	0.5	12	11	11	2
1	25	15	30	2.5	2	0.5	7	5	10	2
2	15	10	30	2.5	4	0.8	9	7	14	2
2	25	15	30	2	4	0.5	7	5	11	2
2	30	15	40	2	3	0.5	7	5	11	2
2	15	15	30	2.5	3	0.5	7	11	11	1
2	25	10	20	2	3	0.3	7	7	14	2
2	25	15	30	2.5	3	0.5	9	5	11	2
2	25	15	20	2	2	0.8	9	7	11	2
2	25	15	20	2	2	0.5	7	7	14	2
2	25	20	40	2	2	0.5	9	7	11	2
2	30	20	30	2	4	0.5	9	7	14	2
3	25	10	40	2	4	0.3	12	7	14	2
3	25	15	30	1.5	4	0.5	9	5	14	2
3	25	20	30	1.5	3	0.5	7	7	11	2
3	15	15	30	2.5	2	0.8	12	11	11	1
3	25	20	40	2	3	0.3	9	7	14	2
3	25	15	20	2	4	0.5	7	7	11	2
3	25	15	30	2	3	0.5	9	7	14	2
3	15	15	20	2	2	0.5	12	11	14	1
3	25	15	30	1.5	2	0.5	9	11	11	2
3	25	15	40	2	2	0.3	12	7	10	2
4	15	10	30	1.5	3	0.3	9	5	11	2
4	30	10	30	2.5	3	0.3	7	7	10	2
4	15	10	20	1.5	4	0.5	9	7	10	2
4	15	10	40	2	2	0.5	9	7	14	2
4	15	20	20	2	2	0.3	12	7	11	2
4	25	10	30	2.5	3	0.5	9	7	14	2
4	30	20	40	2.5	3	0.8	12	7	11	2
4	30	10	30	2	2	0.5	12	11	10	2
4	25	15	30	2	3	0.3	9	7	11	2
4	15	20	30	2.5	3	0.8	7	11	11	1
5	15	15	40	2	3	0.8	7	7	11	1
5	25	15	30	2.5	2	0.3	9	7	14	2
5	15	15	30	2	3	0.8	7	5	14	2
5	30	10	40	1.5	2	0.8	9	5	11	2
5	25	15	30	1.5	3	0.3	12	11	14	2
5	25	15	40	1.5	4	0.8	9	7	14	2
5	25	15	30	2	3	0.8	9	7	11	2
5	15	15	30	1.5	4	0.8	12	11	10	1
5	25	15	20	2.5	3	0.3	9	11	10	2
5	25	15	30	2	3	0.5	12	5	10	2
6	30	15	30	1.5	2	0.5	9	11	11	2
6	15	10	30	1.5	3	0.5	12	7	10	2
6	25	15	30	2.5	3	0.5	7	5	14	2
6	25	15	30	2.5	2	0.8	12	7	11	2
6	15	10	40	1.5	2	0.8	9	5	11	2
6	25	15	30	2.5	2	0.5	9	7	11	2
6	25	20	30	2.5	4	0.5	12	7	10	2
6	25	15	20	2	3	0.5	9	11	11	2
6	25	10	30	2.5	4	0.8	12	11	11	2
6	15	15	30	1.5	2	0.5	9	5	11	2
7	25	20	30	2	2	0.3	12	7	11	2
7	25	20	30	1.5	4	0.8	9	5	10	2
7	30	20	30	1.5	3	0.5	12	7	10	2
7	25	15	40	1.5	3	0.5	7	11	11	1
7	25	15	40	2	3	0.8	9	5	11	2
7	25	10	30	2.5	3	0.5	7	11	11	2
7	30	15	30	2	3	0.5	12	11	10	2
7	25	20	40	2	3	0.8	7	11	11	1
7	25	15	30	2	2	0.5	9	5	14	2
7	15	15	20	2	3	0.5	9	7	14	2
8	30	15	30	2.5	3	0.5	7	5	11	2
8	25	20	30	2.5	2	0.8	7	5	14	2
8	25	20	30	2.5	3	0.5	9	5	10	2
8	25	20	40	2	4	0.3	9	7	11	2
8	30	10	30	2	4	0.5	12	7	11	2
8	25	15	20	2	3	0.8	12	5	11	2
8	25	15	30	2	2	0.8	7	7	14	2
8	25	15	30	2.5	2	0.8	9	11	14	2
8	30	15	30	1.5	3	0.5	12	7	11	2
8	25	10	40	2	3	0.3	7	7	14	2
9	15	15	40	2	3	0.8	9	7	11	2
9	15	15	30	2.5	2	0.5	9	7	14	2
9	15	10	30	2	3	0.5	7	7	11	2
9	30	10	30	2	4	0.5	7	7	10	2
9	25	10	40	2	4	0.3	12	5	10	2
9	15	15	30	2.5	3	0.5	12	5	14	2
9	25	15	20	2.5	2	0.8	12	7	11	2
9	25	20	20	2	3	0.5	7	5	10	2
9	30	15	30	2	2	0.5	12	7	14	2
9	15	20	30	2	3	0.5	12	7	10	1
10	25	15	30	2.5	3	0.5	12	11	10	2
10	25	15	30	2	4	0.8	7	5	11	2
10	25	15	30	2.5	4	0.8	9	7	10	2
10	30	20	30	2.5	2	0.3	9	7	11	2
10	15	15	30	2	4	0.5	7	11	10	1
10	15	15	30	1.5	2	0.3	9	7	10	1
10	15	15	30	2	3	0.3	9	11	14	1
10	15	15	20	2	3	0.5	12	7	14	2
10	30	20	30	2.5	4	0.5	9	7	10	2
10	15	10	20	2	2	0.5	7	5	10	2
11	30	20	30	1.5	2	0.3	7	5	10	2
11	15	15	40	2	2	0.3	9	5	11	2
11	25	20	30	2.5	4	0.3	12	11	11	2
11	25	15	30	2	4	0.3	9	7	14	2
11	30	15	40	2	2	0.8	7	7	11	2
11	25	15	40	2.5	4	0.3	7	7	14	2
11	25	15	40	1.5	3	0.3	9	7	10	2
11	25	15	20	2	4	0.8	9	11	11	2
11	25	20	20	1.5	2	0.5	9	11	10	3
11	15	20	30	1.5	3	0.5	9	11	11	1
12	15	15	30	1.5	2	0.8	9	7	10	2
12	25	15	30	2	4	0.3	7	7	11	2
12	30	15	40	2	2	0.8	9	11	14	2
12	25	10	30	1.5	4	0.3	12	5	14	2
12	25	15	30	2	3	0.5	9	11	11	2
12	15	15	30	2.5	2	0.3	7	7	11	1
12	15	15	30	2	3	0.8	7	7	11	2
12	30	20	20	2.5	3	0.5	7	5	14	2
12	30	10	30	2.5	3	0.3	12	7	10	2
12	15	15	30	2.5	3	0.5	7	7	11	1
13	25	15	30	1.5	3	0.8	9	5	14	2
13	25	15	30	1.5	3	0.5	12	5	11	2
