ID	PreferenceForPublicTransport	TravelTime	TravelCost	EnvironmentalConcern	SafetyPerception
1	0	41	8.0	0	0
2	0	55	8.5	0	0
3	3	34	6.3	1	1
4	1	51	4.0	1	1
5	1	47	1.7	1	0
6	2	52	3.7	1	0
7	2	22	2.9	0	0
8	1	40	1.5	1	0
9	0	50	4.7	0	0
10	2	20	4.1	0	0
11	0	52	5.3	1	0
12	2	17	3.0	1	1
13	0	50	5.4	0	1
14	1	29	6.8	0	1
15	1	30	8.9	1	0
16	3	45	4.8	1	0
17	2	21	6.7	1	1
18	1	50	7.2	1	1
19	1	42	6.5	1	0
20	1	41	2.4	1	0
21	0	48	8.6	0	1
22	0	58	3.8	0	0
23	1	44	6.2	1	1
24	0	38	6.4	1	0
25	1	58	8.7	1	0
26	0	53	9.9	0	1
27	3	31	8.0	1	1
28	0	43	6.6	0	1
29	0	52	2.2	0	1
30	1	31	2.7	0	0
31	1	34	1.6	0	1
32	2	33	6.7	1	0
33	0	59	8.4	1	0
34	2	40	5.0	0	1
35	0	47	9.1	0	0
36	2	44	8.1	1	1
37	3	15	6.6	1	1
38	1	41	9.9	0	0
39	2	26	1.4	1	0
40	0	30	1.3	0	0
41	2	23	1.9	1	1
42	1	22	3.8	0	0
43	0	49	7.9	0	1
44	2	42	7.7	0	1
45	3	21	4.9	1	1
46	1	22	5.7	1	0
47	0	58	8.4	0	1
48	1	34	9.1	0	1
49	0	56	9.4	0	1
50	1	23	2.1	0	0
51	2	20	7.7	1	0
52	0	59	5.7	0	0
53	0	44	2.0	0	0
54	3	17	2.5	1	1
55	1	19	9.8	1	0
56	5	27	1.3	1	1
57	2	47	6.5	1	0
58	2	43	1.5	1	1
59	3	16	3.2	1	1
60	4	11	5.2	1	1
61	4	26	3.3	1	1
62	2	15	3.6	1	1
63	0	57	4.7	0	0
64	5	30	4.7	1	1
65	1	56	7.8	1	1
66	0	52	2.1	1	0
67	1	32	1.4	0	1
68	4	12	5.8	0	1
69	2	49	3.0	0	1
70	3	28	2.4	0	0
71	3	11	1.8	1	1
72	1	29	7.2	0	0
73	2	37	5.4	0	0
74	0	38	4.5	0	0
75	1	51	4.2	0	1
76	2	18	8.6	1	0
77	0	52	6.9	0	1
78	2	16	3.4	0	0
79	0	45	8.9	0	1
80	0	32	4.8	1	0
81	2	24	5.5	1	1
82	0	53	1.0	0	0
83	3	18	4.3	1	1
84	0	53	5.3	0	0
85	1	21	8.1	0	1
86	3	23	7.4	1	1
87	2	13	6.0	1	0
88	2	12	3.5	0	1
89	2	17	5.0	0	1
90	1	36	4.8	0	1
91	1	22	5.1	0	1
92	0	46	5.2	0	0
93	2	36	7.6	1	1
94	2	21	5.2	0	0
95	2	29	4.3	0	0
96	0	42	3.5	0	0
97	1	55	5.7	0	1
98	0	56	9.6	1	0
99	0	54	2.7	0	0
100	3	14	7.9	1	1
101	2	59	5.3	1	1
102	1	25	4.0	1	1
103	0	18	7.8	0	0
104	0	51	4.0	1	0
105	0	45	8.9	0	0
106	1	36	5.7	0	0
107	2	19	3.6	1	0
108	0	44	5.3	0	0
109	1	31	8.2	1	1
110	1	41	9.9	1	1
111	4	15	9.2	1	1
112	3	17	5.6	1	0
113	0	30	3.3	0	1
114	0	50	2.8	0	0
115	3	24	9.3	1	1
116	0	41	6.7	0	0
117	0	37	1.7	0	0
118	0	55	2.2	0	1
119	2	37	2.6	1	1
120	3	26	3.8	1	0
121	2	17	5.9	0	0
122	2	33	4.9	0	0
